AnimalID,Virus,Session,Stim,Resp
4650,ChR2,Scop0.3,Laser,0.194174757281553
4650,ChR2,Scop1,Laser,0.212765957446809
4650,ChR2,Mec1,Laser,1
4650,ChR2,Saline,Catch,0.170212765957447
4650,ChR2,Scop0.3,Catch,0.245283018867925
4650,ChR2,Scop1,Catch,0.0588235294117647
4650,ChR2,Mec1,Catch,0.215686274509804
4853,eYFP,Saline,Tone,0.898876404494382
4853,eYFP,Scop0.3,Tone,0.383177570093458
4853,eYFP,Scop1,Tone,0.347826086956522
4853,eYFP,Mec1,Tone,0.481818181818182
4853,eYFP,Saline,Laser,0.125
4853,eYFP,Scop0.3,Laser,0.0707070707070707
4853,eYFP,Scop1,Laser,0.141414141414141
4853,eYFP,Mec1,Laser,0.0120481927710843
4853,eYFP,Saline,Catch,0.297872340425532
4853,eYFP,Scop0.3,Catch,0.0232558139534884
4853,eYFP,Scop1,Catch,0.288888888888889
4853,eYFP,Mec1,Catch,0.0416666666666667
5706,ChR2,Saline,Tone,0.95049504950495
5706,ChR2,Scop0.3,Tone,0.887755102040816
5706,ChR2,Scop1,Tone,0.818181818181818
5706,ChR2,Mec1,Tone,0.707547169811321
5706,ChR2,Saline,Laser,1
5706,ChR2,Scop0.3,Laser,0.676470588235294
5706,ChR2,Scop1,Laser,0.480392156862745
5706,ChR2,Mec1,Laser,0.378947368421053
5706,ChR2,Saline,Catch,0.294117647058824
5706,ChR2,Scop0.3,Catch,0.218181818181818
5706,ChR2,Scop1,Catch,0.395833333333333
5706,ChR2,Mec1,Catch,0.36734693877551
5044,ChR2,Saline,Tone,0.969387755102041
5044,ChR2,Scop0.3,Tone,0.954128440366973
5044,ChR2,Scop1,Tone,0.571428571428571
5044,ChR2,Mec1,Tone,0.255102040816327
5044,ChR2,Saline,Laser,0.912087912087912
5044,ChR2,Scop0.3,Laser,0.521739130434783
5044,ChR2,Scop1,Laser,0.257731958762887
5044,ChR2,Mec1,Laser,0.923809523809524
5044,ChR2,Saline,Catch,0.181818181818182
5044,ChR2,Scop0.3,Catch,0.386363636363636
5044,ChR2,Scop1,Catch,0.145833333333333
5044,ChR2,Mec1,Catch,0.1
5045,ChR2,Saline,Tone,0.728155339805825
5045,ChR2,Scop0.3,Tone,0.747572815533981
5045,ChR2,Scop1,Tone,0.146551724137931
5045,ChR2,Mec1,Tone,0.833333333333333
5045,ChR2,Saline,Laser,0.98936170212766
5045,ChR2,Scop0.3,Laser,0.846938775510204
5045,ChR2,Scop1,Laser,0.215909090909091
5045,ChR2,Mec1,Laser,0.990291262135922
5045,ChR2,Saline,Catch,0.369565217391304
5045,ChR2,Scop0.3,Catch,0.658536585365854
5045,ChR2,Scop1,Catch,0.12
5045,ChR2,Mec1,Catch,0.652173913043478
5182,ChR2,Saline,Tone,0.919642857142857
5182,ChR2,Scop0.3,Tone,0.893203883495146
5182,ChR2,Scop1,Tone,0.329896907216495
5182,ChR2,Mec1,Tone,0.923809523809524
5182,ChR2,Saline,Laser,0.932584269662921
5182,ChR2,Scop0.3,Laser,0.605769230769231
5182,ChR2,Scop1,Laser,0.0860215053763441
5182,ChR2,Mec1,Laser,0.93
5182,ChR2,Saline,Catch,0.214285714285714
5182,ChR2,Scop0.3,Catch,0.195652173913043
5182,ChR2,Scop1,Catch,0.155555555555556
5182,ChR2,Mec1,Catch,0.08
5239,ChR2,Saline,Tone,0.982300884955752
5239,ChR2,Scop0.3,Tone,0.978947368421053
5239,ChR2,Scop1,Tone,0.586538461538462
5239,ChR2,Mec1,Tone,0.98
5239,ChR2,Saline,Laser,0.957446808510638
5239,ChR2,Scop0.3,Laser,0.857142857142857
5239,ChR2,Scop1,Laser,0.255102040816327
5239,ChR2,Mec1,Laser,0.958762886597938
5239,ChR2,Saline,Catch,0.51219512195122
5239,ChR2,Scop0.3,Catch,0.5
5239,ChR2,Scop1,Catch,0.36734693877551
5239,ChR2,Mec1,Catch,0.415094339622642
5240,ChR2,Saline,Tone,0.844660194174757
5240,ChR2,Scop0.3,Tone,0.908333333333333
5240,ChR2,Scop1,Tone,0.403846153846154
5240,ChR2,Mec1,Tone,0.969072164948454
5240,ChR2,Saline,Laser,0.505263157894737
5240,ChR2,Scop0.3,Laser,0.807692307692308
5240,ChR2,Scop1,Laser,0.376344086021505
5240,ChR2,Mec1,Laser,0.732673267326733
5240,ChR2,Saline,Catch,0.25531914893617
5240,ChR2,Scop0.3,Catch,0.86
5240,ChR2,Scop1,Catch,0.372549019607843
5240,ChR2,Mec1,Catch,0.765957446808511
5241,eYFP,Saline,Tone,0.519607843137255
5241,eYFP,Scop0.3,Tone,0.391752577319588
5241,eYFP,Scop1,Tone,0.0396039603960396
5241,eYFP,Mec1,Tone,0.718181818181818
5241,eYFP,Saline,Laser,0.173469387755102
5241,eYFP,Scop0.3,Laser,0.0490196078431373
5241,eYFP,Scop1,Laser,0.0111111111111111
5241,eYFP,Mec1,Laser,0.329268292682927
5241,eYFP,Saline,Catch,0.0612244897959184
5241,eYFP,Scop0.3,Catch,0.08
5241,eYFP,Scop1,Catch,0.0212765957446809
5241,eYFP,Mec1,Catch,0.295454545454545
5243,eYFP,Saline,Tone,0.0315789473684211
5243,eYFP,Scop0.3,Tone,0.162162162162162
5243,eYFP,Scop1,Tone,0.228571428571429
5243,eYFP,Mec1,Tone,0.26530612244898
5243,eYFP,Saline,Laser,0.0816326530612245
5243,eYFP,Scop0.3,Laser,0.0617283950617284
